id_aluno;idade;serie;prova_b1;trab1_b1;trab2_b1;freq_b1;prova_b2;trab1_b2;trab2_b2;freq_b2;prova_b3;trab1_b3;trab2_b3;freq_b3;prova_b4;trab1_b4;trab2_b4;freq_b4;nota_b1;nota_b2;nota_b3;nota_b4;nota_final;frequencia_final;resultado_final;media_nota_b1_b3;media_freq_b1_b3;slope_nota;var_nota;prob_reprovado;prob_recuperacao;prob_aprovado;score_risco;nivel_risco
14;13;9;7.6;0.3;0.0;84.7;4.0;0.5;0.2;69.8;5.5;0.2;0.3;55.2;4.4;0.0;0.8;52.8;7.899999999999999;4.7;6.0;5.2;5.95;65.625;Reprovado;6.199999999999999;69.89999999999999;-1.8999999999999984;2.5899999999999976;0.94;0.055;0.005;96.75;Alto Risco
15;14;9;7.3;0.3;0.5;61.5;6.2;0.8;0.4;60.0;3.7;0.7;0.7;99.1;7.7;0.8;0.2;50.1;8.1;7.4;5.1000000000000005;8.7;7.325;67.675;Reprovado;6.866666666666667;73.53333333333333;-2.999999999999999;2.463333333333332;0.765;0.17;0.065;85.0;Alto Risco
16;11;6;5.6;0.7;1.0;55.9;4.3;0.9;0.8;71.2;6.1;0.8;0.7;93.0;7.1;0.2;0.6;55.1;7.3;6.0;7.6;7.899999999999999;7.199999999999999;68.8;Reprovado;6.966666666666666;73.36666666666666;0.2999999999999998;0.723333333333333;0.865;0.095;0.04;91.25;Alto Risco
17;14;6;6.0;1.0;0.4;58.3;7.4;0.9;0.9;69.3;5.8;0.5;0.6;84.4;6.5;0.4;0.1;89.6;7.4;9.2;6.9;7.0;7.625;75.4;Aprovado;7.833333333333333;70.66666666666667;-0.5;1.463333333333332;0.375;0.025;0.6;38.75;Baixo Risco
18;14;8;5.0;0.7;0.0;50.1;7.5;0.8;0.2;95.8;6.6;0.6;0.4;96.9;3.4;0.7;0.8;98.1;5.7;8.5;7.6;4.9;6.674999999999999;85.225;Recuperação;7.266666666666666;80.93333333333334;1.8999999999999997;2.043333333333333;0.125;0.735;0.14;49.25;Risco Moderado
19;14;9;3.3;0.6;0.0;85.9;4.5;0.9;0.6;88.1;7.7;0.5;0.6;86.1;5.1;0.4;0.2;71.3;3.9;6.0;8.799999999999999;5.7;6.1;82.85000000000001;Recuperação;6.233333333333333;86.7;4.899999999999999;6.043333333333331;0.125;0.845;0.03;54.75;Risco Moderado
20;13;6;4.7;0.7;0.4;86.6;4.1;0.2;0.2;75.3;7.6;0.9;0.3;59.5;5.8;0.4;0.1;75.6;5.800000000000001;4.5;8.8;6.3;6.3500000000000005;74.25;Reprovado;6.366666666666667;73.8;3.0;4.863333333333334;0.835;0.135;0.03;90.25;Alto Risco
21;12;8;7.0;0.5;0.2;75.7;5.1;0.3;0.1;99.4;7.7;0.5;0.1;72.1;3.9;0.1;0.4;57.3;7.7;5.499999999999999;8.299999999999999;4.4;6.475;76.125;Recuperação;7.166666666666667;82.4;0.5999999999999988;2.173333333333334;0.06;0.755;0.185;43.75;Risco Moderado
22;11;9;3.0;0.1;0.0;58.1;4.2;0.3;0.9;73.3;4.2;0.8;1.0;53.6;5.2;0.4;0.6;77.6;3.1;5.4;6.0;6.2;5.175;65.65;Reprovado;4.833333333333333;61.66666666666666;2.9;2.3433333333333333;0.965;0.035;0.0;98.25;Alto Risco
23;12;7;4.7;0.6;0.8;54.2;6.4;0.4;0.8;52.9;3.7;0.8;0.1;69.5;6.0;0.8;0.9;57.2;6.1;7.6;4.6;7.7;6.499999999999999;58.45;Reprovado;6.099999999999999;58.86666666666667;-1.5;2.25;0.98;0.02;0.0;99.0;Alto Risco
24;14;8;5.0;1.0;0.5;51.0;7.1;0.4;0.8;63.1;4.5;0.4;0.1;87.1;4.6;0.9;1.0;80.6;6.5;8.3;5.0;6.5;6.575;70.44999999999999;Reprovado;6.6000000000000005;67.06666666666666;-1.5;2.7300000000000013;0.905;0.085;0.01;94.75;Alto Risco
25;14;9;5.7;0.2;0.3;58.3;6.4;0.5;0.0;71.8;7.5;0.2;0.9;69.3;6.9;0.4;0.4;96.7;6.2;6.9;8.6;7.700000000000001;7.350000000000001;74.02499999999999;Reprovado;7.233333333333334;66.46666666666665;2.3999999999999995;1.5233333333333323;0.94;0.03;0.03;95.5;Alto Risco
26;12;9;7.6;0.7;0.9;94.5;7.1;0.2;0.8;57.8;7.9;0.4;0.3;66.5;7.2;0.4;0.1;59.8;9.2;8.1;8.600000000000001;7.7;8.4;69.65;Reprovado;8.633333333333333;72.93333333333334;-0.5999999999999979;0.303333333333333;0.81;0.1;0.09;86.0;Alto Risco
27;12;8;4.7;0.2;0.1;62.1;5.0;0.7;0.4;97.4;7.3;0.8;0.7;79.8;4.6;0.7;0.7;88.2;5.0;6.1000000000000005;8.799999999999999;6.0;6.475;81.875;Recuperação;6.633333333333333;79.76666666666667;3.799999999999999;3.8233333333333306;0.155;0.82;0.025;56.5;Risco Moderado
28;12;7;4.7;0.5;1.0;67.7;3.8;0.2;0.3;88.3;3.6;0.2;0.3;93.6;7.2;0.9;0.6;51.2;6.2;4.3;4.1000000000000005;8.7;5.825;75.2;Recuperação;4.866666666666667;83.2;-2.1;1.3433333333333333;0.09;0.905;0.005;54.25;Risco Moderado
29;14;8;6.7;0.1;0.3;55.3;6.7;0.3;0.5;63.4;7.7;0.5;0.4;52.4;3.5;0.3;0.4;68.8;7.1;7.5;8.6;4.2;6.85;59.975;Reprovado;7.733333333333333;57.03333333333333;1.5;0.6033333333333333;0.995;0.005;0.0;99.75;Alto Risco
30;14;9;5.3;0.5;0.9;61.1;4.8;0.5;0.1;79.5;5.1;0.8;0.3;69.3;7.2;0.4;0.3;55.5;6.7;5.4;6.199999999999999;7.9;6.549999999999999;66.35;Reprovado;6.1000000000000005;69.96666666666665;-0.5000000000000009;0.4299999999999998;0.905;0.095;0.0;95.25;Alto Risco
31;11;6;4.1;0.8;0.6;76.0;6.4;0.8;0.8;86.1;3.0;0.4;0.3;57.9;3.8;0.8;0.5;67.6;5.499999999999999;8.0;3.7;5.1;5.574999999999999;71.9;Reprovado;5.733333333333333;73.33333333333333;-1.799999999999999;4.663333333333333;0.82;0.165;0.015;90.25;Alto Risco
32;11;6;5.3;0.3;0.8;80.4;4.4;0.7;0.6;97.1;5.2;0.6;0.4;84.8;3.4;0.6;0.3;58.7;6.4;5.7;6.2;4.3;5.65;80.25;Recuperação;6.1000000000000005;87.43333333333334;-0.2000000000000001;0.13;0.06;0.935;0.005;52.75;Risco Moderado
33;14;8;3.7;0.7;1.0;62.3;3.4;0.6;0.2;94.1;3.2;0.2;0.7;55.3;6.2;0.1;0.8;68.7;5.4;4.2;4.1000000000000005;7.1;5.200000000000001;70.1;Reprovado;4.566666666666667;70.56666666666666;-1.2999999999999998;0.5233333333333333;0.845;0.155;0.0;92.25;Alto Risco
34;12;9;3.9;0.8;0.3;52.9;8.0;0.2;0.2;75.8;5.7;0.1;0.5;83.2;5.4;0.6;0.5;70.9;5.0;8.399999999999999;6.3;6.5;6.55;70.69999999999999;Reprovado;6.566666666666666;70.63333333333333;1.2999999999999998;2.9433333333333302;0.945;0.04;0.015;96.5;Alto Risco
35;12;6;5.5;0.9;1.0;69.6;3.8;0.5;0.2;88.7;4.7;0.8;0.9;64.3;7.5;0.2;0.9;65.0;7.4;4.5;6.4;8.6;6.725;71.9;Reprovado;6.1000000000000005;74.2;-1.0;2.170000000000001;0.8;0.195;0.005;89.75;Alto Risco
36;11;9;5.1;0.2;0.4;61.7;7.9;0.1;0.1;78.1;5.4;0.1;0.0;59.9;4.8;0.5;0.5;82.8;5.7;8.1;5.5;5.8;6.275;70.625;Reprovado;6.433333333333334;66.56666666666668;-0.2000000000000001;2.093333333333333;0.97;0.025;0.005;98.25;Alto Risco
37;14;8;7.6;0.4;0.4;61.0;7.9;0.4;0.6;77.6;6.1;0.3;0.5;96.8;4.4;0.5;0.2;95.9;8.4;8.9;6.9;5.1000000000000005;7.325;82.82499999999999;Aprovado;8.066666666666668;78.46666666666665;-1.5;1.0833333333333333;0.14;0.075;0.785;17.75;Baixo Risco
38;11;6;4.8;0.2;0.3;98.0;7.0;0.4;0.8;55.7;7.3;0.9;0.6;50.9;5.5;0.9;0.9;70.0;5.3;8.200000000000001;8.799999999999999;7.300000000000001;7.399999999999999;68.65;Reprovado;7.433333333333333;68.2;3.499999999999999;3.503333333333333;0.9;0.065;0.035;93.25;Alto Risco
39;11;9;5.9;1.0;0.5;80.8;6.3;0.0;0.0;56.3;6.3;0.3;0.9;71.9;5.3;0.5;0.6;59.6;7.4;6.3;7.5;6.4;6.9;67.15;Reprovado;7.066666666666666;69.66666666666667;0.0999999999999996;0.4433333333333336;0.89;0.06;0.05;92.0;Alto Risco
40;13;6;6.2;0.9;0.2;77.8;5.9;0.3;0.0;76.5;5.2;1.0;0.0;51.1;4.7;0.3;0.2;63.5;7.300000000000001;6.2;6.2;5.2;6.225;67.225;Reprovado;6.566666666666666;68.46666666666667;-1.1000000000000003;0.4033333333333337;0.935;0.05;0.015;96.0;Alto Risco
41;13;8;3.1;0.5;0.6;70.8;7.3;1.0;0.6;63.4;7.1;1.0;0.6;74.2;6.5;0.2;0.6;92.7;4.2;8.9;8.7;7.3;7.275;75.27499999999999;Aprovado;7.266666666666667;69.46666666666665;4.499999999999999;7.063333333333333;0.275;0.06;0.665;30.500000000000004;Baixo Risco
42;13;9;6.3;0.8;0.5;71.4;4.4;1.0;0.8;51.1;7.5;0.3;0.9;75.1;6.8;0.9;0.4;78.6;7.6;6.2;8.7;8.1;7.65;69.05;Reprovado;7.5;65.86666666666666;1.0999999999999996;1.569999999999999;0.95;0.03;0.02;96.5;Alto Risco
43;12;6;3.9;0.5;0.8;77.0;5.3;0.4;0.3;86.1;3.6;0.0;0.2;66.1;7.3;0.2;0.8;72.8;5.2;6.0;3.8;8.3;5.825;75.5;Recuperação;5.0;76.39999999999999;-1.4000000000000004;1.2400000000000002;0.195;0.8;0.005;59.5;Risco Moderado
44;14;8;7.8;0.6;0.8;84.8;6.1;0.0;0.3;51.6;5.7;0.7;0.9;56.6;7.9;0.4;0.5;57.5;9.2;6.4;7.300000000000001;8.8;7.925000000000001;62.625;Reprovado;7.633333333333333;64.33333333333333;-1.8999999999999984;2.043333333333332;0.98;0.02;0.0;99.0;Alto Risco
45;14;6;3.7;0.1;0.4;85.1;5.1;0.2;0.6;79.8;4.4;0.5;0.0;68.8;4.3;0.2;0.7;72.5;4.2;5.9;4.9;5.2;5.05;76.55;Recuperação;5.000000000000001;77.89999999999999;0.7000000000000002;0.7300000000000001;0.11;0.885;0.005;55.25;Risco Moderado
46;14;6;5.1;0.8;0.3;58.6;5.1;0.4;0.3;77.0;3.2;0.1;0.7;83.6;6.6;0.8;0.1;63.9;6.199999999999999;5.8;4.0;7.499999999999999;5.875;70.77499999999999;Reprovado;5.333333333333333;73.06666666666666;-2.1999999999999997;1.3733333333333326;0.825;0.17;0.005;91.0;Alto Risco
47;14;7;3.4;0.1;0.3;75.0;4.7;0.9;0.0;98.4;6.3;0.7;0.9;89.1;5.0;0.5;0.4;97.2;3.8;5.6000000000000005;7.9;5.9;5.800000000000001;89.925;Recuperação;5.766666666666667;87.5;4.1000000000000005;4.223333333333335;0.06;0.91;0.03;51.5;Risco Moderado
48;13;7;8.0;0.8;0.2;70.6;5.8;0.1;0.7;74.2;7.3;0.0;0.7;76.5;6.4;0.4;1.0;94.2;9.0;6.6;8.0;7.800000000000001;7.85;78.875;Aprovado;7.866666666666667;73.76666666666667;-1.0;1.4533333333333338;0.25;0.08;0.67;29.0;Baixo Risco
49;12;8;5.5;0.8;0.1;93.5;7.3;0.8;0.6;53.2;3.8;0.9;0.4;79.5;5.4;0.4;0.8;54.2;6.4;8.7;5.1000000000000005;6.6000000000000005;6.7;70.1;Reprovado;6.733333333333333;75.39999999999999;-1.2999999999999998;3.3233333333333306;0.78;0.195;0.025;87.75;Alto Risco
50;12;7;6.0;0.7;0.3;81.6;4.0;0.1;0.6;77.6;7.1;0.1;0.0;60.0;8.0;0.9;0.2;75.8;7.0;4.699999999999999;7.199999999999999;9.1;7.0;73.75;Reprovado;6.3;73.06666666666666;0.1999999999999993;1.9300000000000008;0.905;0.08;0.015;94.5;Alto Risco
51;13;8;3.3;0.0;0.3;76.6;7.7;1.0;0.7;92.1;7.3;0.1;0.9;64.4;6.6;0.6;0.3;61.3;3.6;9.4;8.299999999999999;7.499999999999999;7.199999999999999;73.6;Reprovado;7.099999999999999;77.7;4.699999999999999;9.49;0.695;0.145;0.16;76.75;Alto Risco
52;12;7;6.7;0.3;1.0;55.8;6.4;0.4;0.7;99.8;7.6;0.2;0.5;58.1;7.8;0.7;0.3;70.5;8.0;7.500000000000001;8.3;8.8;8.15;71.05;Reprovado;7.933333333333334;71.23333333333333;0.3000000000000007;0.1633333333333332;0.875;0.045;0.08;89.75;Alto Risco
53;13;6;4.0;0.3;0.6;80.3;7.1;0.8;0.2;71.5;4.3;1.0;0.0;62.5;7.2;0.9;0.7;93.8;4.9;8.1;5.3;8.799999999999999;6.775;77.025;Recuperação;6.1000000000000005;71.43333333333334;0.3999999999999994;3.039999999999999;0.35;0.65;0.0;67.5;Risco Moderado
54;14;8;7.5;0.4;0.3;55.9;5.8;0.3;0.4;66.0;7.5;0.7;0.7;61.2;7.5;0.9;0.8;76.4;8.200000000000001;6.5;8.899999999999999;9.2;8.200000000000001;64.875;Reprovado;7.866666666666667;61.03333333333334;0.6999999999999975;1.5233333333333323;0.98;0.005;0.015;98.25;Alto Risco
55;13;8;4.0;0.1;0.6;66.9;6.9;0.6;0.1;95.3;4.6;0.8;0.5;76.0;7.1;0.3;0.7;66.7;4.699999999999999;7.6;5.9;8.1;6.574999999999999;76.225;Recuperação;6.066666666666666;79.39999999999999;1.200000000000001;2.123333333333334;0.065;0.925;0.01;52.75;Risco Moderado
56;14;6;4.0;0.9;0.1;57.1;3.1;0.2;0.1;59.6;5.8;0.4;0.1;78.1;5.3;1.0;0.5;60.4;5.0;3.4000000000000004;6.3;6.8;5.375;63.8;Reprovado;4.9;64.93333333333334;1.2999999999999998;2.1099999999999994;0.985;0.015;0.0;99.25;Alto Risco
57;14;8;3.2;0.6;0.4;84.6;7.1;0.1;0.7;80.8;3.3;0.3;0.2;97.2;4.3;0.0;0.8;90.0;4.2;7.899999999999999;3.8;5.1;5.25;88.14999999999999;Recuperação;5.3;87.53333333333332;-0.4000000000000003;5.109999999999996;0.03;0.97;0.0;51.5;Risco Moderado
58;11;8;5.4;0.3;0.6;60.3;3.2;0.9;0.9;70.3;3.2;0.2;0.1;59.8;4.9;0.4;0.4;81.2;6.3;5.000000000000001;3.5000000000000004;5.700000000000001;5.125;67.89999999999999;Reprovado;4.933333333333334;63.46666666666666;-2.7999999999999994;1.9633333333333325;0.975;0.025;0.0;98.75;Alto Risco
59;13;7;5.8;0.4;0.5;69.6;7.4;0.9;1.0;52.1;6.6;0.5;0.6;82.1;3.1;0.9;0.1;73.4;6.7;9.3;7.699999999999999;4.1;6.949999999999999;69.3;Reprovado;7.899999999999999;67.93333333333332;0.9999999999999992;1.720000000000001;0.89;0.035;0.075;90.75;Alto Risco
60;11;8;3.3;0.4;0.4;94.8;8.0;0.9;0.6;67.4;5.2;0.6;0.6;90.9;5.6;0.3;0.6;60.9;4.1;9.5;6.4;6.499999999999999;6.625;78.5;Recuperação;6.666666666666667;84.36666666666666;2.3000000000000007;7.343333333333335;0.055;0.905;0.04;50.75;Risco Moderado
61;13;9;6.9;0.6;1.0;60.2;4.5;0.6;0.2;63.3;4.3;0.6;0.5;78.0;5.5;0.3;1.0;66.7;8.5;5.3;5.4;6.8;6.5;67.05;Reprovado;6.400000000000001;67.16666666666667;-3.1;3.31;0.96;0.04;0.0;98.0;Alto Risco
62;13;6;5.3;0.5;0.9;75.4;4.1;0.8;0.1;84.3;4.0;0.3;0.8;62.8;5.6;0.3;0.8;98.0;6.7;4.999999999999999;5.1;6.699999999999999;5.874999999999999;80.125;Recuperação;5.599999999999999;74.16666666666667;-1.6000000000000003;0.9100000000000008;0.21;0.79;0.0;60.5;Risco Moderado
63;11;7;5.6;0.9;0.6;71.0;6.8;0.1;0.8;97.4;6.3;0.9;0.9;63.1;7.9;0.6;0.6;76.0;7.1;7.699999999999999;8.1;9.1;8.0;76.875;Aprovado;7.633333333333333;77.16666666666667;1.0;0.2533333333333333;0.1;0.06;0.84;13.0;Baixo Risco
64;11;7;5.2;0.5;0.6;50.9;4.3;0.3;0.6;63.4;3.0;0.2;0.6;52.0;7.6;0.4;0.6;70.0;6.3;5.199999999999999;3.8;8.6;5.975;59.075;Reprovado;5.1000000000000005;55.43333333333334;-2.5;1.57;0.995;0.005;0.0;99.75;Alto Risco
65;13;9;5.0;1.0;0.6;89.6;7.3;0.3;0.6;90.6;7.0;1.0;0.0;65.3;3.8;0.7;0.9;76.1;6.6;8.2;8.0;5.4;7.049999999999999;80.4;Aprovado;7.599999999999999;81.83333333333333;1.4000000000000004;0.76;0.07;0.115;0.815;12.75;Baixo Risco
66;12;6;5.8;0.9;0.2;53.5;3.5;0.6;0.8;52.8;3.4;0.0;0.7;87.2;4.8;0.9;0.4;88.9;6.9;4.9;4.1;6.1000000000000005;5.5;70.6;Reprovado;5.3;64.5;-2.8000000000000007;2.080000000000001;0.935;0.055;0.01;96.25;Alto Risco
67;14;6;3.8;0.2;0.4;73.7;3.6;0.4;0.7;76.9;4.0;0.5;0.4;52.4;5.1;0.7;0.3;67.0;4.4;4.7;4.9;6.1;5.025;67.5;Reprovado;4.666666666666667;67.66666666666667;0.5;0.0633333333333333;0.91;0.09;0.0;95.5;Alto Risco
68;11;7;3.9;0.9;0.0;78.0;7.9;0.1;0.8;53.5;4.9;0.3;0.6;61.0;4.8;0.2;1.0;58.9;4.8;8.8;5.8;6.0;6.3500000000000005;62.85;Reprovado;6.466666666666668;64.16666666666667;1.0;4.333333333333336;0.945;0.045;0.01;96.75;Alto Risco
69;14;8;7.3;0.1;0.5;81.4;6.4;0.6;0.1;96.7;5.4;0.4;0.6;85.3;7.0;0.9;0.9;79.2;7.899999999999999;7.1;6.4;8.8;7.55;85.65;Aprovado;7.133333333333333;87.80000000000001;-1.4999999999999982;0.5633333333333319;0.065;0.1;0.835;11.5;Baixo Risco
70;12;7;7.7;0.8;0.5;84.4;7.2;0.8;0.7;88.3;4.8;0.6;0.4;89.1;5.6;0.3;0.3;83.3;9.0;8.7;5.8;6.199999999999999;7.425;86.27499999999999;Aprovado;7.833333333333333;87.26666666666665;-3.2;3.123333333333333;0.02;0.1;0.88;7.0;Baixo Risco
71;12;6;4.9;0.4;0.2;62.7;4.6;0.4;0.9;82.9;4.6;0.4;0.9;72.8;5.9;0.1;0.5;85.6;5.500000000000001;5.9;5.9;6.5;5.950000000000001;76.0;Recuperação;5.766666666666668;72.80000000000001;0.3999999999999994;0.0533333333333331;0.195;0.8;0.005;59.5;Risco Moderado
72;12;9;4.4;0.9;1.0;50.5;6.4;0.1;0.3;91.2;7.8;0.4;0.1;84.9;7.3;0.1;0.4;94.1;6.300000000000001;6.8;8.299999999999999;7.8;7.3;80.175;Aprovado;7.133333333333333;75.53333333333333;1.9999999999999984;1.0833333333333317;0.245;0.05;0.705;27.0;Baixo Risco
73;11;7;6.2;0.9;0.9;86.2;6.0;0.2;0.6;82.4;6.2;0.7;0.7;69.4;7.0;0.6;0.1;68.6;8.0;6.8;7.6;7.699999999999999;7.525;76.65;Aprovado;7.466666666666666;79.33333333333334;-0.4000000000000003;0.3733333333333334;0.07;0.115;0.815;12.75;Baixo Risco
74;12;6;5.0;0.8;0.7;76.8;6.0;0.2;0.3;98.4;3.1;0.7;0.0;58.0;3.7;0.1;1.0;53.8;6.5;6.5;3.8;4.800000000000001;5.4;71.75;Reprovado;5.6000000000000005;77.73333333333333;-2.7;2.43;0.755;0.235;0.01;87.25;Alto Risco
75;11;7;3.1;0.8;0.5;91.8;6.4;0.3;1.0;85.7;5.2;0.8;0.9;69.9;6.6;0.1;0.4;97.9;4.4;7.7;6.9;7.1;6.525;86.325;Recuperação;6.333333333333333;82.46666666666667;2.5;2.963333333333333;0.075;0.915;0.01;53.25;Risco Moderado
76;12;8;3.8;0.3;0.9;91.1;5.9;0.6;0.0;96.2;7.4;0.2;0.1;79.0;5.2;0.3;0.9;71.8;5.0;6.5;7.7;6.4;6.4;84.525;Recuperação;6.4;88.76666666666667;2.7;1.83;0.05;0.915;0.035;50.75;Risco Moderado
77;14;7;6.6;0.1;0.1;92.2;5.1;0.6;0.6;75.9;4.5;0.6;0.1;97.4;4.5;0.3;0.2;81.2;6.799999999999999;6.299999999999999;5.199999999999999;5.0;5.824999999999999;86.675;Recuperação;6.099999999999999;88.5;-1.5999999999999996;0.6699999999999997;0.065;0.925;0.01;52.75;Risco Moderado
78;14;7;6.3;0.4;0.8;74.3;4.4;0.7;0.2;55.9;3.5;0.6;0.3;53.4;3.3;0.6;0.5;83.3;7.5;5.300000000000001;4.4;4.4;5.4;66.725;Reprovado;5.733333333333334;61.2;-3.1;2.543333333333333;1.0;0.0;0.0;100.0;Alto Risco
79;13;6;3.1;0.2;0.1;66.7;6.8;0.4;0.7;76.4;6.8;0.4;0.4;75.4;5.4;0.8;0.0;77.3;3.4000000000000004;7.9;7.6;6.2;6.275;73.95;Reprovado;6.3;72.83333333333334;4.199999999999999;6.329999999999999;0.92;0.07;0.01;95.5;Alto Risco
80;14;6;4.1;0.7;0.8;89.6;4.1;0.8;0.2;56.3;6.0;0.5;0.2;66.4;4.8;0.8;0.8;60.3;5.6;5.1;6.7;6.4;5.949999999999999;68.14999999999999;Reprovado;5.8;70.76666666666667;1.1000000000000003;0.6700000000000005;0.93;0.06;0.01;96.0;Alto Risco
81;13;6;4.2;0.3;0.3;72.6;6.5;0.2;0.2;79.6;5.9;0.3;0.6;75.4;4.3;0.3;0.6;87.8;4.8;6.9;6.8;5.199999999999999;5.925;78.85;Recuperação;6.166666666666667;75.86666666666666;2.0;1.4033333333333338;0.185;0.805;0.01;58.75;Risco Moderado
82;14;7;6.4;1.0;0.9;59.2;4.2;0.5;0.5;74.1;3.3;0.1;0.4;51.2;6.5;0.2;0.6;90.2;8.3;5.2;3.8;7.3;6.15;68.675;Reprovado;5.766666666666667;61.5;-4.500000000000001;5.303333333333336;0.955;0.045;0.0;97.75;Alto Risco
83;11;8;3.1;0.6;0.9;92.7;6.1;0.8;0.9;81.1;3.7;0.2;0.0;65.7;6.8;1.0;0.1;77.6;4.6000000000000005;7.8;3.9;7.899999999999999;6.05;79.275;Recuperação;5.433333333333334;79.83333333333333;-0.7000000000000006;4.323333333333332;0.07;0.92;0.01;53.0;Risco Moderado
84;14;9;3.5;0.8;0.1;94.1;6.7;0.2;0.2;50.5;6.1;0.1;0.3;91.0;4.2;0.0;0.2;74.4;4.4;7.1000000000000005;6.499999999999999;4.4;5.6;77.5;Recuperação;6.0;78.53333333333333;2.0999999999999988;2.01;0.085;0.895;0.02;53.25;Risco Moderado
