,prova_b1,prova_b2,prova_b3,trab1_b1,trab1_b2,trab1_b3,trab2_b1,trab2_b2,trab2_b3,freq_b1,freq_b2,freq_b3,idade,serie,media_nota_b1_b3,media_freq_b1_b3,slope_nota,var_nota,resultado_final
10,7.9,3.2,5.3,0.9,0.2,0.8,0.7,0.1,0.2,58.0,52.4,85.0,13,8,6.433333333333334,65.13333333333334,-3.2,9.013333333333332,0
11,7.2,5.0,3.9,0.7,0.9,0.4,0.1,0.7,0.4,83.7,67.6,62.3,13,8,6.433333333333334,71.2,-3.3,2.743333333333333,0
12,3.6,6.5,4.3,0.5,0.0,0.6,0.5,0.8,0.8,59.0,92.8,95.2,13,6,5.866666666666666,82.33333333333333,1.0999999999999996,1.8433333333333335,1
13,7.6,4.0,5.5,0.3,0.5,0.2,0.0,0.2,0.3,84.7,69.8,55.2,13,9,6.199999999999999,69.89999999999999,-1.8999999999999986,2.5899999999999976,0
14,7.3,6.2,3.7,0.3,0.8,0.7,0.5,0.4,0.7,61.5,60.0,99.1,14,9,6.866666666666667,73.53333333333333,-2.999999999999999,2.463333333333332,0
15,5.6,4.3,6.1,0.7,0.9,0.8,1.0,0.8,0.7,55.9,71.2,93.0,11,6,6.966666666666666,73.36666666666666,0.2999999999999998,0.723333333333333,0
16,6.0,7.4,5.8,1.0,0.9,0.5,0.4,0.9,0.6,58.3,69.3,84.4,14,6,7.833333333333333,70.66666666666667,-0.5,1.463333333333332,2
17,5.0,7.5,6.6,0.7,0.8,0.6,0.0,0.2,0.4,50.1,95.8,96.9,14,8,7.266666666666666,80.93333333333334,1.8999999999999995,2.043333333333333,1
18,3.3,4.5,7.7,0.6,0.9,0.5,0.0,0.6,0.6,85.9,88.1,86.1,14,9,6.233333333333333,86.7,4.899999999999999,6.043333333333331,1
19,4.7,4.1,7.6,0.7,0.2,0.9,0.4,0.2,0.3,86.6,75.3,59.5,13,6,6.366666666666667,73.8,3.0,4.863333333333334,0
20,7.0,5.1,7.7,0.5,0.3,0.5,0.2,0.1,0.1,75.7,99.4,72.1,12,8,7.166666666666667,82.4,0.5999999999999988,2.173333333333334,1
21,3.0,4.2,4.2,0.1,0.3,0.8,0.0,0.9,1.0,58.1,73.3,53.6,11,9,4.833333333333333,61.666666666666664,2.9,2.3433333333333333,0
22,4.7,6.4,3.7,0.6,0.4,0.8,0.8,0.8,0.1,54.2,52.9,69.5,12,7,6.099999999999999,58.86666666666667,-1.5,2.25,0
23,5.0,7.1,4.5,1.0,0.4,0.4,0.5,0.8,0.1,51.0,63.1,87.1,14,8,6.6000000000000005,67.06666666666666,-1.5,2.7300000000000013,0
24,5.7,6.4,7.5,0.2,0.5,0.2,0.3,0.0,0.9,58.3,71.8,69.3,14,9,7.233333333333334,66.46666666666665,2.3999999999999995,1.5233333333333325,0
25,7.6,7.1,7.9,0.7,0.2,0.4,0.9,0.8,0.3,94.5,57.8,66.5,12,9,8.633333333333333,72.93333333333334,-0.5999999999999979,0.30333333333333307,0
26,4.7,5.0,7.3,0.2,0.7,0.8,0.1,0.4,0.7,62.1,97.4,79.8,12,8,6.633333333333333,79.76666666666667,3.799999999999999,3.8233333333333306,1
27,4.7,3.8,3.6,0.5,0.2,0.2,1.0,0.3,0.3,67.7,88.3,93.6,12,7,4.866666666666667,83.2,-2.0999999999999996,1.3433333333333333,1
28,6.7,6.7,7.7,0.1,0.3,0.5,0.3,0.5,0.4,55.3,63.4,52.4,14,8,7.733333333333333,57.03333333333333,1.5,0.6033333333333333,0
29,5.3,4.8,5.1,0.5,0.5,0.8,0.9,0.1,0.3,61.1,79.5,69.3,14,9,6.1000000000000005,69.96666666666665,-0.5000000000000009,0.4299999999999998,0
30,4.1,6.4,3.0,0.8,0.8,0.4,0.6,0.8,0.3,76.0,86.1,57.9,11,6,5.733333333333333,73.33333333333333,-1.799999999999999,4.663333333333333,0
31,5.3,4.4,5.2,0.3,0.7,0.6,0.8,0.6,0.4,80.4,97.1,84.8,11,6,6.1000000000000005,87.43333333333334,-0.20000000000000018,0.13000000000000006,1
32,3.7,3.4,3.2,0.7,0.6,0.2,1.0,0.2,0.7,62.3,94.1,55.3,14,8,4.566666666666667,70.56666666666666,-1.2999999999999998,0.5233333333333333,0
33,3.9,8.0,5.7,0.8,0.2,0.1,0.3,0.2,0.5,52.9,75.8,83.2,12,9,6.566666666666666,70.63333333333333,1.2999999999999998,2.9433333333333302,0
34,5.5,3.8,4.7,0.9,0.5,0.8,1.0,0.2,0.9,69.6,88.7,64.3,12,6,6.1000000000000005,74.2,-1.0,2.170000000000001,0
35,5.1,7.9,5.4,0.2,0.1,0.1,0.4,0.1,0.0,61.7,78.1,59.9,11,9,6.433333333333334,66.56666666666668,-0.20000000000000018,2.093333333333333,0
36,7.6,7.9,6.1,0.4,0.4,0.3,0.4,0.6,0.5,61.0,77.6,96.8,14,8,8.066666666666668,78.46666666666665,-1.5,1.0833333333333333,2
37,4.8,7.0,7.3,0.2,0.4,0.9,0.3,0.8,0.6,98.0,55.7,50.9,11,6,7.433333333333333,68.2,3.499999999999999,3.503333333333333,0
38,5.9,6.3,6.3,1.0,0.0,0.3,0.5,0.0,0.9,80.8,56.3,71.9,11,9,7.066666666666666,69.66666666666667,0.09999999999999964,0.4433333333333336,0
39,6.2,5.9,5.2,0.9,0.3,1.0,0.2,0.0,0.0,77.8,76.5,51.1,13,6,6.566666666666666,68.46666666666667,-1.1000000000000005,0.4033333333333337,0
40,3.1,7.3,7.1,0.5,1.0,1.0,0.6,0.6,0.6,70.8,63.4,74.2,13,8,7.266666666666667,69.46666666666665,4.499999999999999,7.063333333333333,2
41,6.3,4.4,7.5,0.8,1.0,0.3,0.5,0.8,0.9,71.4,51.1,75.1,13,9,7.5,65.86666666666666,1.0999999999999996,1.569999999999999,0
42,3.9,5.3,3.6,0.5,0.4,0.0,0.8,0.3,0.2,77.0,86.1,66.1,12,6,5.0,76.39999999999999,-1.4000000000000004,1.2400000000000002,1
43,7.8,6.1,5.7,0.6,0.0,0.7,0.8,0.3,0.9,84.8,51.6,56.6,14,8,7.633333333333333,64.33333333333333,-1.8999999999999986,2.0433333333333317,0
44,3.7,5.1,4.4,0.1,0.2,0.5,0.4,0.6,0.0,85.1,79.8,68.8,14,6,5.000000000000001,77.89999999999999,0.7000000000000002,0.7300000000000001,1
45,5.1,5.1,3.2,0.8,0.4,0.1,0.3,0.3,0.7,58.6,77.0,83.6,14,6,5.333333333333333,73.06666666666666,-2.1999999999999993,1.3733333333333326,0
46,3.4,4.7,6.3,0.1,0.9,0.7,0.3,0.0,0.9,75.0,98.4,89.1,14,7,5.766666666666667,87.5,4.1000000000000005,4.2233333333333345,1
47,8.0,5.8,7.3,0.8,0.1,0.0,0.2,0.7,0.7,70.6,74.2,76.5,13,7,7.866666666666667,73.76666666666667,-1.0,1.4533333333333338,2
48,5.5,7.3,3.8,0.8,0.8,0.9,0.1,0.6,0.4,93.5,53.2,79.5,12,8,6.733333333333333,75.39999999999999,-1.2999999999999998,3.3233333333333306,0
49,6.0,4.0,7.1,0.7,0.1,0.1,0.3,0.6,0.0,81.6,77.6,60.0,12,7,6.3,73.06666666666666,0.1999999999999993,1.9300000000000006,0
50,3.3,7.7,7.3,0.0,1.0,0.1,0.3,0.7,0.9,76.6,92.1,64.4,13,8,7.099999999999999,77.7,4.699999999999999,9.49,0
51,6.7,6.4,7.6,0.3,0.4,0.2,1.0,0.7,0.5,55.8,99.8,58.1,12,7,7.933333333333334,71.23333333333333,0.3000000000000007,0.16333333333333322,0
52,4.0,7.1,4.3,0.3,0.8,1.0,0.6,0.2,0.0,80.3,71.5,62.5,13,6,6.1000000000000005,71.43333333333334,0.39999999999999947,3.039999999999999,1
53,7.5,5.8,7.5,0.4,0.3,0.7,0.3,0.4,0.7,55.9,66.0,61.2,14,8,7.866666666666667,61.03333333333334,0.6999999999999975,1.5233333333333323,0
54,4.0,6.9,4.6,0.1,0.6,0.8,0.6,0.1,0.5,66.9,95.3,76.0,13,8,6.066666666666666,79.39999999999999,1.200000000000001,2.123333333333334,1
55,4.0,3.1,5.8,0.9,0.2,0.4,0.1,0.1,0.1,57.1,59.6,78.1,14,6,4.8999999999999995,64.93333333333334,1.2999999999999998,2.1099999999999994,0
56,3.2,7.1,3.3,0.6,0.1,0.3,0.4,0.7,0.2,84.6,80.8,97.2,14,8,5.3,87.53333333333332,-0.40000000000000036,5.109999999999996,1
57,5.4,3.2,3.2,0.3,0.9,0.2,0.6,0.9,0.1,60.3,70.3,59.8,11,8,4.933333333333334,63.46666666666666,-2.7999999999999994,1.9633333333333325,0
58,5.8,7.4,6.6,0.4,0.9,0.5,0.5,1.0,0.6,69.6,52.1,82.1,13,7,7.8999999999999995,67.93333333333332,0.9999999999999991,1.720000000000001,0
59,3.3,8.0,5.2,0.4,0.9,0.6,0.4,0.6,0.6,94.8,67.4,90.9,11,8,6.666666666666667,84.36666666666666,2.3000000000000007,7.343333333333335,1
60,6.9,4.5,4.3,0.6,0.6,0.6,1.0,0.2,0.5,60.2,63.3,78.0,13,9,6.400000000000001,67.16666666666667,-3.0999999999999996,3.3099999999999996,0
61,5.3,4.1,4.0,0.5,0.8,0.3,0.9,0.1,0.8,75.4,84.3,62.8,13,6,5.599999999999999,74.16666666666667,-1.6000000000000005,0.9100000000000009,1
62,5.6,6.8,6.3,0.9,0.1,0.9,0.6,0.8,0.9,71.0,97.4,63.1,11,7,7.633333333333333,77.16666666666667,1.0,0.2533333333333333,2
63,5.2,4.3,3.0,0.5,0.3,0.2,0.6,0.6,0.6,50.9,63.4,52.0,11,7,5.1000000000000005,55.43333333333334,-2.5,1.57,0
64,5.0,7.3,7.0,1.0,0.3,1.0,0.6,0.6,0.0,89.6,90.6,65.3,13,9,7.599999999999999,81.83333333333333,1.4000000000000004,0.76,2
65,5.8,3.5,3.4,0.9,0.6,0.0,0.2,0.8,0.7,53.5,52.8,87.2,12,6,5.3,64.5,-2.8000000000000007,2.080000000000001,0
66,3.8,3.6,4.0,0.2,0.4,0.5,0.4,0.7,0.4,73.7,76.9,52.4,14,6,4.666666666666667,67.66666666666667,0.5,0.06333333333333332,0
67,3.9,7.9,4.9,0.9,0.1,0.3,0.0,0.8,0.6,78.0,53.5,61.0,11,7,6.466666666666668,64.16666666666667,1.0,4.333333333333336,0
68,7.3,6.4,5.4,0.1,0.6,0.4,0.5,0.1,0.6,81.4,96.7,85.3,14,8,7.133333333333333,87.80000000000001,-1.4999999999999982,0.5633333333333319,2
69,7.7,7.2,4.8,0.8,0.8,0.6,0.5,0.7,0.4,84.4,88.3,89.1,12,7,7.833333333333333,87.26666666666665,-3.2,3.123333333333333,2
70,4.9,4.6,4.6,0.4,0.4,0.4,0.2,0.9,0.9,62.7,82.9,72.8,12,6,5.766666666666668,72.80000000000001,0.39999999999999947,0.05333333333333319,1
71,4.4,6.4,7.8,0.9,0.1,0.4,1.0,0.3,0.1,50.5,91.2,84.9,12,9,7.133333333333333,75.53333333333333,1.9999999999999982,1.0833333333333317,2
72,6.2,6.0,6.2,0.9,0.2,0.7,0.9,0.6,0.7,86.2,82.4,69.4,11,7,7.466666666666666,79.33333333333334,-0.40000000000000036,0.3733333333333334,2
73,5.0,6.0,3.1,0.8,0.2,0.7,0.7,0.3,0.0,76.8,98.4,58.0,12,6,5.6000000000000005,77.73333333333333,-2.7,2.43,0
74,3.1,6.4,5.2,0.8,0.3,0.8,0.5,1.0,0.9,91.8,85.7,69.9,11,7,6.333333333333333,82.46666666666667,2.5,2.963333333333333,1
75,3.8,5.9,7.4,0.3,0.6,0.2,0.9,0.0,0.1,91.1,96.2,79.0,12,8,6.3999999999999995,88.76666666666667,2.7,1.83,1
76,6.6,5.1,4.5,0.1,0.6,0.6,0.1,0.6,0.1,92.2,75.9,97.4,14,7,6.099999999999999,88.5,-1.5999999999999996,0.6699999999999997,1
77,6.3,4.4,3.5,0.4,0.7,0.6,0.8,0.2,0.3,74.3,55.9,53.4,14,7,5.733333333333334,61.199999999999996,-3.0999999999999996,2.5433333333333326,0
78,3.1,6.8,6.8,0.2,0.4,0.4,0.1,0.7,0.4,66.7,76.4,75.4,13,6,6.3,72.83333333333334,4.199999999999999,6.329999999999999,0
79,4.1,4.1,6.0,0.7,0.8,0.5,0.8,0.2,0.2,89.6,56.3,66.4,14,6,5.8,70.76666666666667,1.1000000000000005,0.6700000000000005,0
80,4.2,6.5,5.9,0.3,0.2,0.3,0.3,0.2,0.6,72.6,79.6,75.4,13,6,6.166666666666667,75.86666666666666,2.0,1.4033333333333338,1
81,6.4,4.2,3.3,1.0,0.5,0.1,0.9,0.5,0.4,59.2,74.1,51.2,14,7,5.766666666666667,61.5,-4.500000000000001,5.3033333333333355,0
82,3.1,6.1,3.7,0.6,0.8,0.2,0.9,0.9,0.0,92.7,81.1,65.7,11,8,5.433333333333334,79.83333333333333,-0.7000000000000006,4.323333333333332,1
83,3.5,6.7,6.1,0.8,0.2,0.1,0.1,0.2,0.3,94.1,50.5,91.0,14,9,6.0,78.53333333333333,2.0999999999999988,2.0099999999999993,1
84,7.0,4.1,4.0,0.1,0.1,0.7,0.5,0.1,0.8,73.3,59.7,77.7,13,9,5.8,70.23333333333333,-2.0999999999999996,2.790000000000001,0
85,3.9,3.3,5.5,0.9,0.9,0.7,1.0,0.8,0.7,53.8,74.6,72.5,13,6,5.900000000000001,66.96666666666665,1.1000000000000005,0.9100000000000004,0
86,6.3,3.7,5.7,0.9,0.3,1.0,0.5,0.5,0.7,69.4,97.5,64.3,12,6,6.533333333333334,77.06666666666666,-0.2999999999999998,3.123333333333334,0
87,4.2,6.0,4.4,0.5,0.7,0.7,0.9,0.9,0.7,90.2,69.2,64.9,11,7,6.333333333333333,74.76666666666667,0.20000000000000018,1.213333333333332,0
88,3.5,7.2,7.7,0.6,0.0,0.1,0.6,0.1,0.3,95.1,71.2,69.2,14,9,6.7,78.5,3.4000000000000004,3.1600000000000006,1
89,4.2,3.2,7.2,0.8,0.7,0.9,0.4,0.6,0.1,60.2,85.7,91.8,12,6,6.033333333333334,79.23333333333333,2.799999999999999,3.723333333333332,1
90,6.6,6.7,6.6,0.2,0.3,0.9,0.3,0.2,0.3,53.3,80.2,98.4,14,8,7.366666666666667,77.3,0.7000000000000002,0.1433333333333333,1
91,7.3,4.7,3.4,0.5,0.1,0.4,0.2,0.2,0.8,93.9,64.9,71.9,14,8,5.866666666666667,76.9,-3.4000000000000004,3.453333333333334,1
92,7.2,5.4,3.5,0.4,0.6,0.6,0.8,0.7,1.0,69.5,70.5,69.7,12,6,6.733333333333334,69.89999999999999,-3.3000000000000007,2.7233333333333345,0
93,5.0,7.6,5.5,0.1,0.2,1.0,0.4,0.6,0.5,77.1,60.9,92.3,12,6,6.966666666666666,76.76666666666667,1.5,2.103333333333334,1
94,6.3,4.7,3.8,0.4,0.4,0.5,0.5,0.8,0.0,98.4,98.3,71.3,12,9,5.800000000000001,89.33333333333333,-2.9000000000000004,2.1100000000000003,1
95,4.0,5.3,7.9,0.1,0.1,0.9,0.5,0.3,0.1,53.3,56.5,77.6,12,9,6.3999999999999995,62.46666666666666,4.300000000000001,4.990000000000002,0
96,4.5,3.1,3.8,0.0,0.1,0.1,0.6,0.4,0.3,82.4,68.6,61.5,12,7,4.3,70.83333333333333,-0.8999999999999995,0.5699999999999996,0
97,7.5,3.4,5.4,0.1,0.3,0.2,0.9,0.4,0.6,53.7,51.3,87.2,14,9,6.266666666666667,64.06666666666666,-2.3,4.843333333333334,0
98,3.1,4.3,4.8,1.0,0.1,0.4,1.0,1.0,0.1,68.8,61.1,76.6,12,8,5.266666666666667,68.83333333333333,0.20000000000000018,0.023333333333333435,1
99,3.4,3.1,6.2,0.5,0.9,0.6,0.4,0.3,0.9,90.2,89.0,90.5,11,8,5.433333333333334,89.89999999999999,3.4000000000000004,3.853333333333334,1
100,4.0,6.2,3.6,1.0,0.0,0.8,0.8,0.3,0.4,71.7,60.1,89.0,13,6,5.7,73.60000000000001,-0.9999999999999991,0.7299999999999993,1
101,3.1,5.1,5.2,0.4,0.5,1.0,0.8,0.4,0.9,99.9,54.0,60.8,12,9,5.800000000000001,71.56666666666666,2.8000000000000007,1.9900000000000009,0
102,3.9,5.7,4.4,0.3,0.1,0.4,0.6,0.6,0.8,78.0,73.7,85.8,12,7,5.6000000000000005,79.16666666666667,0.8000000000000007,0.6400000000000003,0
103,5.9,3.9,7.4,0.5,0.3,0.0,1.0,0.3,0.8,66.1,50.5,90.0,14,8,6.7,68.86666666666666,0.8000000000000007,3.790000000000002,0
104,5.1,4.5,3.2,0.4,0.9,0.8,0.2,0.9,0.6,61.0,54.2,67.3,12,8,5.533333333333334,60.833333333333336,-1.1000000000000005,0.7433333333333343,0
105,7.5,6.3,7.6,0.1,0.2,0.6,0.1,0.3,0.6,67.5,90.4,58.6,12,7,7.766666666666666,72.16666666666667,1.0999999999999996,1.0033333333333325,0
106,7.1,7.8,7.2,0.6,1.0,0.2,0.9,0.9,0.6,68.6,88.6,50.1,12,7,8.766666666666666,69.1,-0.5999999999999996,0.7433333333333327,0
107,4.7,3.3,4.5,0.2,0.2,0.5,0.4,0.1,0.6,53.4,95.8,72.5,14,8,4.833333333333333,73.89999999999999,0.29999999999999893,1.1633333333333333,1
108,4.3,7.5,6.9,0.6,0.7,0.7,0.8,0.7,0.6,68.5,92.7,67.6,12,8,7.599999999999999,76.26666666666667,2.5000000000000018,2.83,2
109,4.9,5.9,3.2,0.7,0.5,0.8,0.9,0.9,1.0,73.2,84.2,77.7,13,7,6.266666666666667,78.36666666666667,-1.5000000000000009,1.3633333333333342,1
110,6.0,5.8,7.8,0.2,0.9,0.5,0.1,0.2,0.7,86.1,52.6,59.4,14,8,7.3999999999999995,66.03333333333333,2.7,2.0100000000000002,0
111,4.3,5.5,5.6,0.1,0.6,0.3,0.9,1.0,0.8,82.8,89.1,93.0,13,6,6.366666666666666,88.3,1.3999999999999995,0.8933333333333331,1
112,6.1,3.3,4.5,0.8,0.5,1.0,0.4,0.5,0.9,85.4,92.3,62.9,14,6,6.0,80.2,-0.8999999999999995,2.37,1
113,5.0,3.4,4.8,0.5,0.2,0.7,0.5,0.9,0.2,50.4,90.0,61.3,12,7,5.3999999999999995,67.23333333333333,-0.2999999999999998,0.6300000000000001,0
114,5.8,6.0,3.3,0.1,0.2,0.4,0.6,0.7,0.1,60.9,75.4,74.0,13,9,5.733333333333333,70.10000000000001,-2.6999999999999993,2.8433333333333333,1
115,5.2,4.7,7.9,1.0,0.9,0.3,0.9,0.3,0.5,83.1,61.6,74.9,14,7,7.233333333333334,73.2,1.6000000000000005,1.9733333333333345,0
116,4.5,7.6,3.2,0.1,0.3,0.7,0.0,0.2,0.5,74.2,92.3,60.8,11,7,5.7,75.76666666666667,-0.1999999999999993,4.329999999999998,0
117,7.7,5.0,6.3,0.7,0.4,0.2,0.5,0.3,0.8,50.3,86.4,63.6,12,9,7.300000000000001,66.76666666666667,-1.6000000000000005,2.5600000000000005,0
118,6.8,3.7,5.2,1.0,0.8,0.2,0.7,0.1,0.4,90.2,99.0,58.5,14,9,6.3,82.56666666666666,-2.6999999999999993,3.99,1
119,3.7,6.6,7.7,0.2,0.3,0.5,0.7,0.1,0.6,88.6,57.8,85.9,11,9,6.8,77.43333333333332,4.199999999999998,4.439999999999997,2
120,7.3,4.5,4.2,0.1,1.0,0.3,0.7,0.1,0.5,77.4,61.3,88.5,14,6,6.233333333333333,75.73333333333333,-3.0999999999999996,2.703333333333333,1
121,5.4,5.6,5.7,0.1,0.7,0.6,0.1,0.4,0.0,53.3,60.6,73.1,11,8,6.2,62.333333333333336,0.7000000000000002,0.3100000000000003,0
122,7.5,6.5,5.4,0.3,0.6,0.1,0.3,0.8,0.6,88.3,89.6,85.7,12,6,7.366666666666666,87.86666666666666,-2.0,1.213333333333333,2
123,7.0,7.5,6.5,0.1,0.9,0.7,0.4,0.1,0.8,79.2,59.3,86.8,13,8,8.0,75.10000000000001,0.5,0.25,2
124,5.1,7.0,3.3,0.7,0.0,0.3,0.8,0.1,0.2,89.1,53.3,56.9,11,6,5.833333333333333,66.43333333333332,-2.8,3.163333333333333,0
125,3.1,6.4,4.0,0.1,0.3,0.0,0.3,0.6,0.6,87.6,99.9,98.3,14,8,5.133333333333334,95.26666666666667,1.0999999999999996,3.8233333333333333,1
126,4.3,6.4,4.1,0.5,0.5,0.1,0.2,0.2,0.6,90.2,51.2,91.1,12,6,5.633333333333333,77.5,-0.20000000000000107,1.6233333333333348,1
127,5.7,7.7,6.7,1.0,0.2,0.9,1.0,0.1,0.2,75.9,91.8,60.2,11,9,7.833333333333333,75.96666666666665,0.10000000000000053,0.023333333333333286,2
128,6.2,4.5,3.9,0.8,0.7,0.9,0.0,0.2,0.1,57.0,68.3,59.3,14,7,5.766666666666667,61.53333333333333,-2.0999999999999996,1.203333333333333,0
129,4.3,3.0,5.9,0.6,0.9,0.2,1.0,0.9,1.0,83.6,92.1,56.3,14,6,5.933333333333334,77.33333333333333,1.2000000000000002,1.3233333333333341,1
130,3.7,4.4,4.1,0.3,0.4,0.8,0.7,0.8,0.4,81.0,77.7,56.9,14,8,5.2,71.86666666666666,0.5999999999999996,0.2100000000000001,0
131,7.2,4.1,7.3,0.6,0.3,0.6,0.8,0.4,0.2,87.1,95.1,87.4,11,9,7.166666666666667,89.86666666666667,-0.5,4.263333333333334,2
132,7.9,6.3,7.7,0.5,1.0,1.0,0.3,0.7,0.2,58.5,96.3,73.5,11,6,8.533333333333333,76.10000000000001,0.1999999999999975,0.223333333333333,2
133,5.6,6.2,5.6,0.4,0.4,0.4,0.0,0.5,0.7,59.7,50.5,89.1,11,6,6.6000000000000005,66.43333333333334,0.7000000000000002,0.3100000000000003,0
134,3.9,6.0,4.8,0.1,0.5,0.7,0.7,0.7,0.6,94.5,53.8,87.3,13,9,6.0,78.53333333333335,1.3999999999999995,1.5699999999999998,1
135,4.4,3.1,4.2,0.9,0.4,0.1,0.8,0.7,0.6,87.5,62.5,80.2,11,6,5.066666666666667,76.73333333333333,-1.2000000000000002,0.9233333333333337,1
136,3.1,6.6,3.2,0.4,0.9,0.4,0.7,0.6,0.1,95.4,83.5,84.3,11,7,5.333333333333333,87.73333333333333,-0.5,5.803333333333331,1
137,7.6,4.6,4.3,0.2,0.6,1.0,0.1,0.3,0.9,87.9,94.4,50.9,11,6,6.533333333333332,77.73333333333333,-1.6999999999999984,1.5233333333333323,0
138,3.6,6.3,6.3,0.4,0.8,0.5,0.8,0.0,0.4,79.9,73.0,65.6,13,7,6.366666666666666,72.83333333333333,2.4000000000000004,1.8433333333333335,0
139,5.9,5.8,5.7,0.4,0.8,0.3,0.8,0.5,0.3,82.7,80.3,81.9,11,7,6.833333333333333,81.63333333333334,-0.8000000000000007,0.21333333333333349,1
140,4.4,4.7,7.7,0.8,0.3,0.1,0.7,0.9,0.5,94.5,59.4,50.5,14,9,6.7,68.13333333333334,2.4000000000000004,1.9200000000000006,0
141,5.8,3.7,5.0,0.7,0.4,0.7,0.8,0.6,0.4,78.9,90.2,51.6,11,6,6.033333333333334,73.56666666666668,-1.1999999999999993,1.693333333333333,1
142,6.3,3.5,6.5,0.8,0.8,0.6,0.8,0.8,0.9,81.6,98.4,92.6,14,9,7.0,90.86666666666667,0.10000000000000142,2.709999999999999,2
143,7.1,7.2,5.4,0.0,0.4,0.4,0.6,1.0,0.9,57.8,63.4,84.2,14,6,7.666666666666667,68.46666666666665,-0.9999999999999982,0.9033333333333335,0
144,4.0,7.6,5.6,0.4,0.8,1.0,0.1,0.2,0.3,73.7,74.7,63.3,14,6,6.666666666666667,70.56666666666666,2.4000000000000004,4.243333333333332,0
145,3.1,6.2,4.3,0.5,0.9,0.0,0.5,0.7,0.9,85.8,54.3,84.4,13,8,5.7,74.83333333333333,1.1000000000000005,3.610000000000002,0
146,3.7,3.5,5.3,0.0,0.6,0.3,0.1,0.7,0.8,63.5,78.0,89.6,13,6,5.0,77.03333333333333,2.6000000000000005,1.7200000000000006,1
147,7.5,5.0,5.4,0.3,0.7,0.9,0.4,1.0,0.9,60.1,75.1,65.3,13,9,7.366666666666667,66.83333333333333,-0.9999999999999982,0.5833333333333325,0
148,7.4,6.6,6.5,0.8,0.8,0.3,0.4,1.0,0.2,65.7,57.2,51.8,11,7,8.0,58.23333333333333,-1.6000000000000014,0.7600000000000002,0
149,6.0,6.9,7.7,0.1,0.8,0.3,0.1,0.7,0.6,62.1,72.1,96.6,14,6,7.733333333333333,76.93333333333332,2.4000000000000004,1.7733333333333343,0
150,6.0,3.6,4.6,0.5,0.4,0.5,0.3,0.2,0.3,60.7,66.7,67.3,13,8,5.466666666666666,64.89999999999999,-1.3999999999999995,1.693333333333333,0
151,6.3,3.0,3.2,0.2,0.1,0.8,0.1,0.8,0.8,71.2,76.1,55.3,13,9,5.1000000000000005,67.53333333333335,-1.7999999999999998,1.8899999999999995,0
152,3.9,6.6,5.5,0.0,0.4,0.1,0.8,0.1,0.0,95.4,79.3,74.6,11,6,5.8,83.1,0.8999999999999995,1.4699999999999993,1
153,7.6,4.8,5.7,0.2,0.7,0.9,0.9,0.8,0.6,75.4,50.4,88.4,13,9,7.3999999999999995,71.4,-1.4999999999999991,1.469999999999999,0
154,5.1,4.3,3.8,1.0,0.5,0.8,0.1,0.9,0.3,59.4,88.1,61.1,11,8,5.599999999999999,69.53333333333333,-1.299999999999999,0.4299999999999994,0
155,4.9,3.1,6.8,0.8,0.7,0.2,1.0,0.4,0.3,53.8,85.7,63.5,12,8,6.066666666666666,67.66666666666667,0.5999999999999996,2.703333333333333,0
156,5.6,5.7,7.9,1.0,0.4,0.7,0.5,0.6,0.6,84.8,68.3,62.1,13,9,7.666666666666667,71.73333333333333,2.0999999999999996,1.8033333333333321,1
