id_aluno,idade,serie,prova_b1,trab1_b1,trab2_b1,freq_b1,prova_b2,trab1_b2,trab2_b2,freq_b2,prova_b3,trab1_b3,trab2_b3,freq_b3,prova_b4,trab1_b4,trab2_b4,freq_b4,nota_b1,nota_b2,nota_b3,nota_b4,nota_final,frequencia_final,resultado_final
47,14,7,3.4,0.1,0.3,75.0,4.7,0.9,0.0,98.4,6.3,0.7,0.9,89.1,5.0,0.5,0.4,97.2,3.8,5.6000000000000005,7.9,5.9,5.800000000000001,89.925,Recuperação
48,13,7,8.0,0.8,0.2,70.6,5.8,0.1,0.7,74.2,7.3,0.0,0.7,76.5,6.4,0.4,1.0,94.2,9.0,6.6,8.0,7.800000000000001,7.8500000000000005,78.875,Aprovado
49,12,8,5.5,0.8,0.1,93.5,7.3,0.8,0.6,53.2,3.8,0.9,0.4,79.5,5.4,0.4,0.8,54.2,6.3999999999999995,8.7,5.1000000000000005,6.6000000000000005,6.7,70.1,Reprovado
50,12,7,6.0,0.7,0.3,81.6,4.0,0.1,0.6,77.6,7.1,0.1,0.0,60.0,8.0,0.9,0.2,75.8,7.0,4.699999999999999,7.199999999999999,9.1,7.0,73.75,Reprovado
51,13,8,3.3,0.0,0.3,76.6,7.7,1.0,0.7,92.1,7.3,0.1,0.9,64.4,6.6,0.6,0.3,61.3,3.5999999999999996,9.399999999999999,8.299999999999999,7.499999999999999,7.199999999999999,73.6,Reprovado
52,12,7,6.7,0.3,1.0,55.8,6.4,0.4,0.7,99.8,7.6,0.2,0.5,58.1,7.8,0.7,0.3,70.5,8.0,7.500000000000001,8.3,8.8,8.15,71.05,Reprovado
53,13,6,4.0,0.3,0.6,80.3,7.1,0.8,0.2,71.5,4.3,1.0,0.0,62.5,7.2,0.9,0.7,93.8,4.8999999999999995,8.1,5.3,8.799999999999999,6.775,77.025,Recuperação
54,14,8,7.5,0.4,0.3,55.9,5.8,0.3,0.4,66.0,7.5,0.7,0.7,61.2,7.5,0.9,0.8,76.4,8.200000000000001,6.5,8.899999999999999,9.200000000000001,8.200000000000001,64.875,Reprovado
55,13,8,4.0,0.1,0.6,66.9,6.9,0.6,0.1,95.3,4.6,0.8,0.5,76.0,7.1,0.3,0.7,66.7,4.699999999999999,7.6,5.8999999999999995,8.1,6.574999999999999,76.225,Recuperação
56,14,6,4.0,0.9,0.1,57.1,3.1,0.2,0.1,59.6,5.8,0.4,0.1,78.1,5.3,1.0,0.5,60.4,5.0,3.4000000000000004,6.3,6.8,5.375,63.800000000000004,Reprovado
57,14,8,3.2,0.6,0.4,84.6,7.1,0.1,0.7,80.8,3.3,0.3,0.2,97.2,4.3,0.0,0.8,90.0,4.2,7.8999999999999995,3.8,5.1,5.25,88.14999999999999,Recuperação
58,11,8,5.4,0.3,0.6,60.3,3.2,0.9,0.9,70.3,3.2,0.2,0.1,59.8,4.9,0.4,0.4,81.2,6.3,5.000000000000001,3.5000000000000004,5.700000000000001,5.125,67.89999999999999,Reprovado
59,13,7,5.8,0.4,0.5,69.6,7.4,0.9,1.0,52.1,6.6,0.5,0.6,82.1,3.1,0.9,0.1,73.4,6.7,9.3,7.699999999999999,4.1,6.949999999999999,69.3,Reprovado
60,11,8,3.3,0.4,0.4,94.8,8.0,0.9,0.6,67.4,5.2,0.6,0.6,90.9,5.6,0.3,0.6,60.9,4.1,9.5,6.3999999999999995,6.499999999999999,6.625,78.5,Recuperação
61,13,9,6.9,0.6,1.0,60.2,4.5,0.6,0.2,63.3,4.3,0.6,0.5,78.0,5.5,0.3,1.0,66.7,8.5,5.3,5.3999999999999995,6.8,6.5,67.05,Reprovado
62,13,6,5.3,0.5,0.9,75.4,4.1,0.8,0.1,84.3,4.0,0.3,0.8,62.8,5.6,0.3,0.8,98.0,6.7,4.999999999999999,5.1,6.699999999999999,5.874999999999999,80.125,Recuperação
63,11,7,5.6,0.9,0.6,71.0,6.8,0.1,0.8,97.4,6.3,0.9,0.9,63.1,7.9,0.6,0.6,76.0,7.1,7.699999999999999,8.1,9.1,8.0,76.875,Aprovado
64,11,7,5.2,0.5,0.6,50.9,4.3,0.3,0.6,63.4,3.0,0.2,0.6,52.0,7.6,0.4,0.6,70.0,6.3,5.199999999999999,3.8000000000000003,8.6,5.975,59.075,Reprovado
65,13,9,5.0,1.0,0.6,89.6,7.3,0.3,0.6,90.6,7.0,1.0,0.0,65.3,3.8,0.7,0.9,76.1,6.6,8.2,8.0,5.4,7.049999999999999,80.4,Aprovado
66,12,6,5.8,0.9,0.2,53.5,3.5,0.6,0.8,52.8,3.4,0.0,0.7,87.2,4.8,0.9,0.4,88.9,6.9,4.8999999999999995,4.1,6.1000000000000005,5.5,70.6,Reprovado
67,14,6,3.8,0.2,0.4,73.7,3.6,0.4,0.7,76.9,4.0,0.5,0.4,52.4,5.1,0.7,0.3,67.0,4.4,4.7,4.9,6.1,5.025,67.5,Reprovado
68,11,7,3.9,0.9,0.0,78.0,7.9,0.1,0.8,53.5,4.9,0.3,0.6,61.0,4.8,0.2,1.0,58.9,4.8,8.8,5.8,6.0,6.3500000000000005,62.85,Reprovado
69,14,8,7.3,0.1,0.5,81.4,6.4,0.6,0.1,96.7,5.4,0.4,0.6,85.3,7.0,0.9,0.9,79.2,7.8999999999999995,7.1,6.4,8.8,7.55,85.65,Aprovado
70,12,7,7.7,0.8,0.5,84.4,7.2,0.8,0.7,88.3,4.8,0.6,0.4,89.1,5.6,0.3,0.3,83.3,9.0,8.7,5.8,6.199999999999999,7.425,86.27499999999999,Aprovado
71,12,6,4.9,0.4,0.2,62.7,4.6,0.4,0.9,82.9,4.6,0.4,0.9,72.8,5.9,0.1,0.5,85.6,5.500000000000001,5.9,5.9,6.5,5.950000000000001,76.0,Recuperação
72,12,9,4.4,0.9,1.0,50.5,6.4,0.1,0.3,91.2,7.8,0.4,0.1,84.9,7.3,0.1,0.4,94.1,6.300000000000001,6.8,8.299999999999999,7.8,7.3,80.175,Aprovado
73,11,7,6.2,0.9,0.9,86.2,6.0,0.2,0.6,82.4,6.2,0.7,0.7,69.4,7.0,0.6,0.1,68.6,8.0,6.8,7.6000000000000005,7.699999999999999,7.525,76.65,Aprovado
74,12,6,5.0,0.8,0.7,76.8,6.0,0.2,0.3,98.4,3.1,0.7,0.0,58.0,3.7,0.1,1.0,53.8,6.5,6.5,3.8,4.800000000000001,5.4,71.75,Reprovado
75,11,7,3.1,0.8,0.5,91.8,6.4,0.3,1.0,85.7,5.2,0.8,0.9,69.9,6.6,0.1,0.4,97.9,4.4,7.7,6.9,7.1,6.525,86.325,Recuperação
76,12,8,3.8,0.3,0.9,91.1,5.9,0.6,0.0,96.2,7.4,0.2,0.1,79.0,5.2,0.3,0.9,71.8,5.0,6.5,7.7,6.4,6.4,84.525,Recuperação
77,14,7,6.6,0.1,0.1,92.2,5.1,0.6,0.6,75.9,4.5,0.6,0.1,97.4,4.5,0.3,0.2,81.2,6.799999999999999,6.299999999999999,5.199999999999999,5.0,5.824999999999999,86.675,Recuperação
78,14,7,6.3,0.4,0.8,74.3,4.4,0.7,0.2,55.9,3.5,0.6,0.3,53.4,3.3,0.6,0.5,83.3,7.5,5.300000000000001,4.3999999999999995,4.4,5.4,66.725,Reprovado
79,13,6,3.1,0.2,0.1,66.7,6.8,0.4,0.7,76.4,6.8,0.4,0.4,75.4,5.4,0.8,0.0,77.3,3.4000000000000004,7.9,7.6000000000000005,6.2,6.275,73.95,Reprovado
80,14,6,4.1,0.7,0.8,89.6,4.1,0.8,0.2,56.3,6.0,0.5,0.2,66.4,4.8,0.8,0.8,60.3,5.6,5.1,6.7,6.3999999999999995,5.949999999999999,68.14999999999999,Reprovado
81,13,6,4.2,0.3,0.3,72.6,6.5,0.2,0.2,79.6,5.9,0.3,0.6,75.4,4.3,0.3,0.6,87.8,4.8,6.9,6.8,5.199999999999999,5.925,78.85,Recuperação
82,14,7,6.4,1.0,0.9,59.2,4.2,0.5,0.5,74.1,3.3,0.1,0.4,51.2,6.5,0.2,0.6,90.2,8.3,5.2,3.8,7.3,6.15,68.675,Reprovado
83,11,8,3.1,0.6,0.9,92.7,6.1,0.8,0.9,81.1,3.7,0.2,0.0,65.7,6.8,1.0,0.1,77.6,4.6000000000000005,7.8,3.9000000000000004,7.8999999999999995,6.05,79.275,Recuperação
84,14,9,3.5,0.8,0.1,94.1,6.7,0.2,0.2,50.5,6.1,0.1,0.3,91.0,4.2,0.0,0.2,74.4,4.3999999999999995,7.1000000000000005,6.499999999999999,4.4,5.6,77.5,Recuperação
85,13,9,7.0,0.1,0.5,73.3,4.1,0.1,0.1,59.7,4.0,0.7,0.8,77.7,3.2,0.9,0.1,55.7,7.6,4.299999999999999,5.5,4.2,5.3999999999999995,66.6,Reprovado
86,13,6,3.9,0.9,1.0,53.8,3.3,0.9,0.8,74.6,5.5,0.7,0.7,72.5,7.2,0.2,0.3,54.2,5.8,5.0,6.9,7.7,6.3500000000000005,63.77499999999999,Reprovado
87,12,6,6.3,0.9,0.5,69.4,3.7,0.3,0.5,97.5,5.7,1.0,0.7,64.3,3.0,0.9,0.6,67.0,7.7,4.5,7.4,4.5,6.025,74.55,Reprovado
88,11,7,4.2,0.5,0.9,90.2,6.0,0.7,0.9,69.2,4.4,0.7,0.7,64.9,7.7,0.3,0.6,65.5,5.6000000000000005,7.6000000000000005,5.800000000000001,8.6,6.9,72.45,Reprovado
89,14,9,3.5,0.6,0.6,95.1,7.2,0.0,0.1,71.2,7.7,0.1,0.3,69.2,6.1,0.4,0.6,97.7,4.699999999999999,7.3,8.1,7.1,6.800000000000001,83.3,Recuperação
90,12,6,4.2,0.8,0.4,60.2,3.2,0.7,0.6,85.7,7.2,0.9,0.1,91.8,4.6,0.7,0.5,89.2,5.4,4.5,8.2,5.8,5.9750000000000005,81.725,Recuperação
91,14,8,6.6,0.2,0.3,53.3,6.7,0.3,0.2,80.2,6.6,0.9,0.3,98.4,4.2,0.6,0.3,83.0,7.1,7.2,7.8,5.1,6.800000000000001,78.725,Recuperação
92,14,8,7.3,0.5,0.2,93.9,4.7,0.1,0.2,64.9,3.4,0.4,0.8,71.9,3.0,0.3,0.2,75.9,8.0,5.0,4.6,3.5,5.275,76.65,Recuperação
93,12,6,7.2,0.4,0.8,69.5,5.4,0.6,0.7,70.5,3.5,0.6,1.0,69.7,4.2,0.6,0.1,58.4,8.4,6.7,5.1,4.8999999999999995,6.275,67.02499999999999,Reprovado
94,12,6,5.0,0.1,0.4,77.1,7.6,0.2,0.6,60.9,5.5,1.0,0.5,92.3,3.7,0.7,0.8,98.9,5.5,8.4,7.0,5.2,6.5249999999999995,82.30000000000001,Recuperação
95,12,9,6.3,0.4,0.5,98.4,4.7,0.4,0.8,98.3,3.8,0.5,0.0,71.3,6.1,0.0,0.6,68.8,7.2,5.9,4.3,6.699999999999999,6.025,84.2,Recuperação
96,12,9,4.0,0.1,0.5,53.3,5.3,0.1,0.3,56.5,7.9,0.9,0.1,77.6,3.8,0.0,0.2,55.3,4.6,5.699999999999999,8.9,4.0,5.8,60.675,Reprovado
97,12,7,4.5,0.0,0.6,82.4,3.1,0.1,0.4,68.6,3.8,0.1,0.3,61.5,5.6,0.5,0.2,74.7,5.1,3.6,4.2,6.3,4.8,71.8,Reprovado
98,14,9,7.5,0.1,0.9,53.7,3.4,0.3,0.4,51.3,5.4,0.2,0.6,87.2,6.0,0.1,0.9,93.7,8.5,4.1,6.2,7.0,6.45,71.475,Reprovado
99,12,8,3.1,1.0,1.0,68.8,4.3,0.1,1.0,61.1,4.8,0.4,0.1,76.6,4.5,0.7,0.7,94.4,5.1,5.3999999999999995,5.3,5.9,5.425000000000001,75.225,Recuperação
100,11,8,3.4,0.5,0.4,90.2,3.1,0.9,0.3,89.0,6.2,0.6,0.9,90.5,3.2,0.2,0.7,50.5,4.3,4.3,7.7,4.1000000000000005,5.1000000000000005,80.05,Recuperação
101,13,6,4.0,1.0,0.8,71.7,6.2,0.0,0.3,60.1,3.6,0.8,0.4,89.0,3.2,0.4,0.4,94.3,5.8,6.5,4.800000000000001,4.0,5.275,78.775,Recuperação
102,12,9,3.1,0.4,0.8,99.9,5.1,0.5,0.4,54.0,5.2,1.0,0.9,60.8,3.1,0.2,0.3,63.6,4.3,6.0,7.1000000000000005,3.6,5.250000000000001,69.575,Reprovado
103,12,7,3.9,0.3,0.6,78.0,5.7,0.1,0.6,73.7,4.4,0.4,0.8,85.8,6.7,0.5,1.0,51.9,4.8,6.3999999999999995,5.6000000000000005,8.2,6.25,72.35,Reprovado
104,14,8,5.9,0.5,1.0,66.1,3.9,0.3,0.3,50.5,7.4,0.0,0.8,90.0,4.6,0.1,0.8,92.4,7.4,4.5,8.200000000000001,5.499999999999999,6.4,74.75,Reprovado
105,12,8,5.1,0.4,0.2,61.0,4.5,0.9,0.9,54.2,3.2,0.8,0.6,67.3,7.0,0.0,0.3,93.2,5.7,6.300000000000001,4.6,7.3,5.9750000000000005,68.925,Reprovado
106,12,7,7.5,0.1,0.1,67.5,6.3,0.2,0.3,90.4,7.6,0.6,0.6,58.6,5.2,0.1,0.8,79.8,7.699999999999999,6.8,8.799999999999999,6.1,7.35,74.075,Reprovado
107,12,7,7.1,0.6,0.9,68.6,7.8,1.0,0.9,88.6,7.2,0.2,0.6,50.1,5.3,1.0,0.8,78.7,8.6,9.700000000000001,8.0,7.1,8.35,71.5,Reprovado
108,14,8,4.7,0.2,0.4,53.4,3.3,0.2,0.1,95.8,4.5,0.5,0.6,72.5,5.6,0.1,0.3,90.7,5.300000000000001,3.6,5.6,5.999999999999999,5.125,78.1,Recuperação
109,12,8,4.3,0.6,0.8,68.5,7.5,0.7,0.7,92.7,6.9,0.7,0.6,67.6,6.6,0.7,0.4,89.3,5.699999999999999,8.899999999999999,8.200000000000001,7.7,7.624999999999999,79.52499999999999,Aprovado
110,13,7,4.9,0.7,0.9,73.2,5.9,0.5,0.9,84.2,3.2,0.8,1.0,77.7,4.4,0.1,0.2,94.5,6.500000000000001,7.300000000000001,5.0,4.7,5.875,82.4,Recuperação
111,14,8,6.0,0.2,0.1,86.1,5.8,0.9,0.2,52.6,7.8,0.5,0.7,59.4,3.6,0.1,0.1,77.6,6.3,6.9,9.0,3.8000000000000003,6.5,68.925,Reprovado
112,13,6,4.3,0.1,0.9,82.8,5.5,0.6,1.0,89.1,5.6,0.3,0.8,93.0,5.8,0.5,0.7,98.4,5.3,7.1,6.699999999999999,7.0,6.5249999999999995,90.82499999999999,Recuperação
113,14,6,6.1,0.8,0.4,85.4,3.3,0.5,0.5,92.3,4.5,1.0,0.9,62.9,4.6,0.5,0.3,99.8,7.3,4.3,6.4,5.3999999999999995,5.85,85.1,Recuperação
114,12,7,5.0,0.5,0.5,50.4,3.4,0.2,0.9,90.0,4.8,0.7,0.2,61.3,5.2,1.0,0.8,55.8,6.0,4.5,5.7,7.0,5.8,64.375,Reprovado
115,13,9,5.8,0.1,0.6,60.9,6.0,0.2,0.7,75.4,3.3,0.4,0.1,74.0,6.2,0.9,1.0,92.5,6.499999999999999,6.9,3.8,8.100000000000001,6.325,75.7,Recuperação
116,14,7,5.2,1.0,0.9,83.1,4.7,0.9,0.3,61.6,7.9,0.3,0.5,74.9,5.5,0.8,0.1,75.0,7.1000000000000005,5.9,8.700000000000001,6.3999999999999995,7.025,73.65,Reprovado
117,11,7,4.5,0.1,0.0,74.2,7.6,0.3,0.2,92.3,3.2,0.7,0.5,60.8,6.1,0.6,0.5,69.4,4.6,8.1,4.4,7.199999999999999,6.075,74.17500000000001,Reprovado
118,12,9,7.7,0.7,0.5,50.3,5.0,0.4,0.3,86.4,6.3,0.2,0.8,63.6,5.7,0.5,0.8,80.7,8.9,5.7,7.3,7.0,7.2250000000000005,70.25,Reprovado
119,14,9,6.8,1.0,0.7,90.2,3.7,0.8,0.1,99.0,5.2,0.2,0.4,58.5,6.7,0.4,0.8,52.8,8.5,4.6,5.800000000000001,7.9,6.699999999999999,75.125,Recuperação
120,11,9,3.7,0.2,0.7,88.6,6.6,0.3,0.1,57.8,7.7,0.5,0.6,85.9,6.5,0.9,0.8,75.3,4.6000000000000005,6.999999999999999,8.799999999999999,8.200000000000001,7.15,76.89999999999999,Aprovado
121,14,6,7.3,0.1,0.7,77.4,4.5,1.0,0.1,61.3,4.2,0.3,0.5,88.5,5.7,0.6,0.3,93.5,8.1,5.6,5.0,6.6,6.324999999999999,80.175,Recuperação
122,11,8,5.4,0.1,0.1,53.3,5.6,0.7,0.4,60.6,5.7,0.6,0.0,73.1,6.4,0.6,0.5,60.7,5.6,6.7,6.3,7.5,6.525,61.925,Reprovado
123,12,6,7.5,0.3,0.3,88.3,6.5,0.6,0.8,89.6,5.4,0.1,0.6,85.7,7.4,0.2,0.6,71.3,8.1,7.8999999999999995,6.1,8.200000000000001,7.575000000000001,83.725,Aprovado
124,13,8,7.0,0.1,0.4,79.2,7.5,0.9,0.1,59.3,6.5,0.7,0.8,86.8,5.2,0.0,1.0,97.0,7.5,8.5,8.0,6.2,7.55,80.575,Aprovado
125,11,6,5.1,0.7,0.8,89.1,7.0,0.0,0.1,53.3,3.3,0.3,0.2,56.9,5.1,0.9,0.3,71.4,6.6,7.1,3.8,6.3,5.95,67.675,Reprovado
126,14,8,3.1,0.1,0.3,87.6,6.4,0.3,0.6,99.9,4.0,0.0,0.6,98.3,6.8,0.3,0.9,67.9,3.5,7.3,4.6,8.0,5.85,88.42500000000001,Recuperação
127,12,6,4.3,0.5,0.2,90.2,6.4,0.5,0.2,51.2,4.1,0.1,0.6,91.1,5.9,0.4,0.3,72.0,5.0,7.1000000000000005,4.799999999999999,6.6000000000000005,5.875,76.125,Recuperação
